#HANDLE# O
yoktur O
, O
adam O
vardır O

#HANDLE# O
çocukluğumdan O
beri O
hastasıyım O
desem O
:D O
farklı O
50 O
veya O
60 O
larda O
yaşamayı O
çok O
isterdim O
işte... O
:D O

#HANDLE# O
ortaokuluna O
kadar O
ingiltere S-LOCATION
paris S-LOCATION
fransa S-LOCATION
londra S-LOCATION
arasindan O
hangisi O
ulke O
hangisi O
sehir O
bilmiyordum.boyle O
de O
cahaldim O
:D O

#HANDLE# O
şotofok O
olduğunu O
biliyorum O
canım O
hatta O
justinli O
görmüştüm O
ama O
Harry S-PERSON
ne O
cevap O
verceğini O
merak O
ettim O
tabi O
görürse O
:D O

Öyle O
sarhoş O
olsam O
ki O
bir O
an O
seni O
unutsam O
:) O

Derin O
bir O
ohh O
:) O

RT O
ottan O
boktan O
şeyleri O
şarkı O
sözlerini O
bile O
rt O
yapan O
ciddi O
konuları O
kaale O
almayan O
rtcileri O
takip O
etmiyoruz O
#RETWETCİLEREHAYIR O
. O

#HANDLE# O
aman O
yok O
allah O
korusun O
:) O
olurrrrrr O
yine O
aynıları O
ísterim O
ama O

#HANDLE# O
Ahaha O
:D O
seni O
böle O
sinirli O
görmek O
güzel O
:D O
Penaltıyı O
vermedi O
ama O
haklısınız O
:D O

#HANDLE# O
surtuk O
den O
bahsediyosun.Onun O
karisini O
becertmekten O
zevk O
alan O
bi O
adam O
oldugunu O
dusunuyorum.Birde O
turbanli O
ayagi O
yapiyo.Tam O
zubuk O
(: O

faN'larda O
heyecan O
tavan O
:D O
#muzikicinefes O

Fenerliler S-ORGANIZATION
dua O
GS S-ORGANIZATION
TS S-ORGANIZATION
de O
BJK S-ORGANIZATION
de O
elenirse O
bu O
sene O
kupa O
galiba O
bizim. O

#HANDLE# O
Çaktırma O
olm O
:D O

#HANDLE# O
kardesim O
sen O
daha O
cok O
yenilmeyi O
ozlemissin O
gibime O
geldi O
:) O

An O
itibariyle O
elimde O
Cumartesi S-DATE
akşamı O
için O
2 O
kişilik O
Duman S-PERSON
konseri O
bileti O
var O
:) O

#HANDLE# O
Ben O
yazın O
kıbrısa S-LOCATION
gelcem O
:D O

lay O
la O
lay O
la O
lay O
ben O
güneş O
sen O
ay O
:D O

CSKA: O
98 O
- O
Gescrap O
Bilbao:71, O
Bilbao O
ilk O
yarıdaki O
dış O
şut O
yüzdesini O
devam O
ettiremedi... O
CSKA S-PERSON
64 O
sayıda O
tuttuğumuzu O
hatırlatırım O
;) O

farkettimde O
herkezle O
planımı O
sınavdan O
sonraya O
yaptım O
:) O
sınavddan O
sonra O
ilk O
3 O
haftam O
full O
doldu O
:Pşaka O
gibiiiii...:):):) O

Bugün O
günlerden O
Kuzey O
:D O

#HANDLE# O
:D O
şapşaal O
:D O

beni O
takip O
edeni O
bende O
takip O
ederim O
;) O

(I'll O
follow O
me O
to O
the O
following) O

Ben O
kaçtım O
öptüm O
:) O

RT O
#HANDLE# O
5 B-DATE
Mayıs E-DATE
Hıdrellez O
Parkorman S-LOCATION
yahu O
:) O

Hamsılerede O
kupada O
yol O
gorundu O
galıba O
:D O

RT O
#HANDLE# O
#HANDLE# O
thanks O
for O
the O
nice O
names O
:) O
haha O

RT O
#HANDLE# O
Biraz O
cocuk,biraz O
adam,biraz O
hiçti... O

#HANDLE# O
anlastik O
:D O

#HANDLE# O
zeki O
oldugumu O
liseden O
biliyodun O
zaten O
:D O

Ajda B-PERSON
Pekkan E-PERSON
kızıp O
şarkıci O
olacak O
Cemil B-PERSON
Ipekçi E-PERSON
Ajdar S-PERSON
şarkısından O
daha O
sükse O
yapacak O
şarkı O
bekliyoruz.. O

BAZEN O
ÜŞÜMEKTE O
GÜZELDİR O
BOYNUNDA O
SARI-LACİVERT O
ATKIN O
VARSAAA.. O
:) O
<3<3<3 O

#HANDLE# O
aynen O
bosuna O
ortak O
olalım O
demiyorum O
sana O
ortaaak O
:D O

#HANDLE# O
özür O
dileriz, O
ne O
olur O
dövme O
abla O
:( O

#HANDLE# O
oy O
kankasının O
gülüne O
bak O
senn O
:) O

beta O
balığım O
yeşillenmiş O
:D O
yosun O
tutmuş O
ahahahah O
:D O

Bunlar O
uzaya O
mı O
gitcek O
smdii O
:D O

#HANDLE# O
bidakine O
senle O
hacı O
:) O

Geldi O
bahar O
ayları O
gevşer O
gönül O
yayları. O
:) O
sizce? O

bugün O
pc O
laboratuvarında O
ekran O
koruyucuya O
ccc O
altını O
şer O
incisi O
ker O
ccc O
yazdım O
mutluyum O
:D O

#HANDLE# O
Vitrindekiler O
zaten O
sus O
olarak O
kullaniliyor O
senin O
suslemene O
gerek O
yok O
:) O

#HANDLE# O
mrb O
ne O
güzel O
kahkaha O
atıyorsun O
özel O
söförün O
alayım O
mı O
nedersin O
05413488534 O

modası O
gecti O
ama O
yazasım O
geldi O
:D O

#HANDLE# O
he O
vallaa O
:D O

#HANDLE# O
saol O
ablam. O
Cuma S-DATE
gelebilicem O
:) O

#HANDLE# O
öylemi O
yapmışım? O
O O
kadar O
olmuş O
mu O
:) O

#HANDLE# O
jump O
to O
facebook S-ORGANIZATION
:) O

Na O
na O
na O
na O
na O
gamoon O
xd O
Ceyda O
kaalp O

Hilal O
yeye O
doymuyo O
ya O
amk O
:D O
- O
Dilan O

Veee O
... O
Konsere O
kadar O
da O
yayın O
yok O
galiba O
artık O
! O
:( O
#muzikicinefes O

#HANDLE# O
Haha:D O
diğer O
şıkkı O
görmeseydim O
Şarkının O
ismi O
beni O
yanıltıyordu O
ama O
hihhii;D O

#HANDLE# O
Evlenin O
ama O
Su O
bir O
gercek O
ki O
sizin O
yaşıtlarınız O
okuma O
gözlüğüyle O
torununa O
hikaye O
okurken O
siz O
cocuğunuza O
okuycaksiniz O
:) O
! O

#HANDLE# O
Evet O
:) O
Gökçe S-PERSON
burda O
. O

Annemin O
"Bir O
beden O
büyük O
al O
seneye O
de O
giyersin" O
sözü O
yüzünden O
küçükken O
herkes O
beni O
rapci O
sanıyodu O
laan O
:D O

#HANDLE# O
tamam O
o O
zaman O
:D O

#HANDLE# O
Yok O
bebeğim O
biliyorum O
bende O
kazanıcam O
onun O
için O
biraz O
uzaklaşıcam O
ondan O
daha O
fazla O
yalnız O
oldğunu O
anlayınca O
daha O
çabuk O
gelicek O
:) O

#HANDLE# O
yazık O
sana O
:D O

#HANDLE# O
121 O
soruda O
113 O
dogru O
8 O
yanlis O
süperimmm O
:D O
İyiymiş O
bu O
yaa O
:) O

Babam O
olmasa O
bu O
adam O
benden O
nefret O
ediyor O
derdim.Belki O
ediyodur. O
Su O
icerken"zikkim O
ic"demek O
nedir O
ya?Gerci O
ben O
icimden O
neler O
sayiyorum.Neyse O

#HANDLE# O
saol O
yagmuurr O
:D O

#HANDLE# O
allah O
iyilik O
versin O
:) O

Gülerken O
ölebilirim O
oderece O
yani O
bi O
düşün O
:D O
:D O

#HANDLE# O
ahahhaha O
cok O
tehlikeli O
cok O
:) O

#HANDLE# O
Fenaadır O
;) O

#HANDLE# O
günaydın O
:) O

RT O
#HANDLE# O
BigaAtatürkAnadolu'Caps' O
diye O
sayfa O
açmayı O
düşünüyorum O
birader O
:D O

amk O
:D O

evet O
yine O
telefondayım O
:) O

#HANDLE# O
sesli O
güldüm O
:) O
Offf O
çok O
iyi O
ya! O

#HANDLE# O
çok O
güzel O
hareketler O
bunlar O
:) O

Modası O
değişmeyen O
tek O
şey; O
KEFEN, O
halen O
daha O
cebi O
yok! O
o O
yüzden O
akıllı O
olun O
;) O

#HANDLE# O
aa O
bize O
gell O
bizde O
bir O
sürü O
çiçolata O
varr O
:D O

#HANDLE# O
tam O
da O
matematik O
yazılısı O
öncesi O
gizoş O
çok O
stresliyim O
anlatamam O
:D O

bunlar O
eve O
girer O
gibi O
girdi O
uzay O
mekiğine O
:D O

#HANDLE# O
unuturmym O
hiç O
salarha O
deresini O
Güneysu S-LOCATION
olması O
lazım O
yanlış O
bilmiyorsam O
yani O
sen O
aslında O
Güneysulusun S-LOCATION
:) O

#HANDLE# O
ben O
hıc O
oyle O
olamadım O
:/ O
ne O
hıssetsem,ne O
ıstesem O
annem O
ıcın O
yaparım O
gozumden O
anlar O
ne O
oldugunu O
ne O
ıstedıgımı:)Baskadır O
annem O
:) O

#HANDLE# O
malesef O
:D O
neyse O
bence O
susalım O
artık O
unfollowlar O
başlıcak O
kanka O
:D O

bu O
red B-ORGANIZATION
hot I-ORGANIZATION
chiliye E-ORGANIZATION
bayılırdım O
ama O
şarkı O
sözleri O
ne O
manyakmış O
öyle O
bazı O
şeyleri O
öğrenmek O
insanı O
üzer O
gerçekten O
üzer O
:( O

artık O
herkese O
bi O
lakap O
bulucam O
o O
ismi O
kullanarak O
konusucam O
:D O

Gs S-ORGANIZATION
Tv O
Hasan B-PERSON
Şaş E-PERSON
yarasını O
göstermiştin.Hala O
İnanmayan O
Varsa O
Bir O
Yara. O
Göstersin O
Size O
Kendinize O
Gelirsiniz! O

Şunu O
biliyorum; O

Hiçbirimiz O
hayalimizdeki O
adamla O
evlenmicez. O
Ben O
kaslı, O
yemek O
yapabilen, O
duygulu O
birini O
hayal O
ediyorum O
çünkü O
:( O

#HANDLE# O
:) O

Ne O
cemreymiş O
ya O
bir O
düştü O
sort O
etek O
giyenler O
türedi O
:D O

Çok O
fena O
havale O
ettim... O
Geçmis O
olsun O
:) O

Muhtesem O
Yuzyil O
:) O

Sen O
1 O
yıl O
peşinden O
koş O
çocuğun, O
şimdi O
o O
sana O
özledim O
desin O
şaka O
gibi O
yahu O
:D O

#HANDLE# O
şimdi O
konular O
karıştı O
arkadaşın O
bayan O
ve O
ağdaya O
karşı O
mı O
onu O
bilemedim O
:D O

#HANDLE# O
başarılarr O
:D O

Konuşmaları O
siliyorum O
lan O
sonra O
çok O
yer O
kaplıyo O
aradığım O
şeyi O
bile O
bulamıyorum. O
:D O

#HANDLE# O
form O
korumak O
için O
yenimi O
bu O
:) O

#HANDLE# O
Genelde O
kansızlar O
bi O
işe O
yaramaz O
soğuk O
kanlılarda O
yılan O
misali O
ne O
zaman O
ne O
yapıcağı O
belli O
olmaz O
sıcak O
kanlıyı O
bul O
bulabilirsen. O
:) O

#HANDLE# O
#HANDLE# O
Başladık O
amk O
:D O

Kuzey O
güney O
timee.. O
;) O

#HANDLE# O
Yeter O
o O
yeter O
:D O

#HANDLE# O
ozmm O
sana O
google O
cı O
dıyelım O
:) O

#HANDLE# O
evet O
evet O
evetttt!!! O
:D O

#HANDLE# O
GS S-ORGANIZATION
maçı O
içinde O
mi O
öyleydi O
içinden O
gelen O
? O
ebilir O
ekini O
eklesen O
iyi O
olurdu O
:D O

#HANDLE# O
hahahah O
bilirim O
bilirim O
:D O

#HANDLE# O
:SDD:SFSDF O
haklısınn O
:D O

ödevvvvvvvvvvvvv O
:( O

Allah'ııım O
sınava O
on O
gün O
kala O
hasta O
olunur O
mu O
ya O
:( O
içim O
dışım O
ilaç O
oldu O
:/ O

Dur O
bi' O
dakka O
oyunu O
için O
selahattin B-PERSON
akçiçekteyiz E-PERSON
:) O
#HANDLE# O

#HANDLE# O
Çok O
sexisiniz O
yaww O
:) O

Günlerdir O
aynı O
şarkıyı O
dinliyorum O
sebebi O
sebebi O
sebebi O
?? O

hazal O
bana O
şifresin O
verdiiiiiiii O
:) O

RT O
#HANDLE# O
I'm O
following O
the O
first O
1OO O
who O
follows O
#HANDLE# O
+ O
#HANDLE# O
:) O
RT O
if O
u O
want O
me O
to O
follow O
u:) O

#HANDLE# O
dışardan O
beni O
görenler O
çok O
komik O
şeylere O
denk O
gelmiş O
olabilirler O
:D O

#HANDLE# O
imkansiz O
bisey O
yook O
:) O

#HANDLE# O
ne O
çabuk O
kız O
:) O

RT O
#HANDLE# O
Omer B-PERSON
urundul E-PERSON
: O
volkan S-PERSON
ılk O
yarıyı O
yanlıs O
solda O
oynadı... O
Yorumcu O
bu O
adam.. O

hasta O
olma O
olmaa O
gel O
guzel O
havalarda O
hasta O
ol O
usuyorum O
ben O
ya O
:( O

#HANDLE# O
Hello, O
Harry S-PERSON
I O
have O
a O
friend O
who O
loves O
you O
very O
much. O
Name O
Betül S-PERSON
you O
write O
I O
love O
you, O
Betul S-PERSON
Pleaseee.. O
:D O

#HANDLE# O
hahahhaa O
:D O
cuk O
oturdu O
ama, O
yoksa O
gulmezdikk O

#HANDLE# O
öyle O
:) O
2 O
dk O
da O
niye O
umrunda O
oliyim O
:d O
zamanla O
:)) O

cinconlu O
dallamalra O
hala O
adam O
olmamışlar O
havlıyorlar O
lan O
yavşaklar O
otudrıunuz O
işte O

Eger O
Nazlı B-PERSON
hanım E-PERSON
yine O
bir O
aksilik O
cıkarmassa O
pazar O
günü O
bulusucaz. O
Hadi O
bakalım O
:D O

#HANDLE# O
:) O
:) O
çook O
güzelmiş O
:))9 O

Ajdarın S-PERSON
yeni O
şarkısını O
alarm O
sesim O
yapmayı O
Ajdaaaaaaaaaaaaarr S-PERSON
diye O
bağırsın O
bütün O
mahale O
uyanırız O
:D O

#HANDLE# O
sınavda O
full O
çekip O
gel O
dostum O
:D O

Aynı O
anda O
hem O
dahiliye O
hem O
acil O
nöbetçisi O
olup O
hemde O
hasta O
yakını O
olabilen O
insana O
yılmaz O
diyorlar O
işte O
:) O

#HANDLE# O
very O
curious, O
are O
you O
coming O
to O
Turkey S-LOCATION
love O
directioner O
please O
reply:) O
ı O
love O
you O
:) O
x O

#HANDLE# O
boşuna O
uğraşma O
:) O
ben O
gitmeyecegim O
:) O

#HANDLE# O
kanka O
sakaydı O
:D O

#HANDLE# O
l O
harfini O
büyük O
yapmak O
en O
en O
nefret O
ettiğim O
şey O
hala O
bazı O
arkadaşlarım O
yapar O
çok O
kızarım O
neymiş O
hoş O
görünüyormuş O
hayır O
berbat. O
:D O

ŞİŞKO O
KIZ: O
BENCE O
BİRAZ O
BALIK O
ET O
İYİ O
YAA O
:s.S.s:s.Ss O
AQ O
BALİNASINA O
COME O
XD O

Parent O
yazicagima O
paren't O
yaziosam O
ben O
olmusum O
demektr O
:D O
paren't O
ne O
oluuum O
:D O

#HANDLE# O
hahahahah O
ama O
baliga O
gelince O
raki, O
meze O
:) O

#HANDLE# O
mühim O
bişi O
değil O
zaten O
ya O
sıkıntı O
yok O
:) O

RT O
#HANDLE# O
#HANDLE# O
Genelde O
konu O
aşk O
üzerineydi O
bu O
zamana O
kadar O
haklısınız.Evet O
bir O
yarim O
var.İlham O
kaynağımdır O
o...Hünkâ O
... O

#HANDLE# O
Arada O
abini O
de O
hatırla O
küstürürsün O
:D O

Bir O
adam O
karısına O
arabasının O
kapısını O
acıyorsa O
emin O
olabilirsiniz: O
Ya O
arabası O
yenidir, O
ya O
da O
karısı O

#HANDLE# O
hehe O
:) O

#kuzeyguney O
gecesiiiii, O
heyooo O
:) O

#muzikicinefes O
#mangalive O
merak O
merak O
merak O
bide O
heyecannnnn O
:) O

Hamsılerı O
tavada O
kızattılar O
hahahah O
:D O

#HANDLE# O
22 O
saat O
sonra O
anca O
görebildim O
benim O
ellerde O
sorun O
yok O
her O
türlü O
sporu O
yapabiliriz O
bay O
:D O

#HANDLE# O
iddalımısın O
? O
:D O

RT O
#HANDLE# O
Y.Demirören S-PERSON
ve O
8 O
BJK S-ORGANIZATION
li O
yönetici O
hakkında O
51 B-MONEY
milyon I-MONEY
tl E-MONEY
lik O
vergi O
kaçakçılığından O
dava O
açildı. O
3.5 O
yıl O
hapis O
isteniyor O

#HANDLE# O
Yeşil O
sahalardan O
kalan O
alışkanlık O
evde O
otururken O
bile O
biz O
bir O
yerlerimizi O
sakatlarız O
:) O

burada O
beni O
kimse O
bulamaz O
:) O

#HANDLE# O
sen O
Doğu B-PERSON
Yücel E-PERSON
retweetlemişsin O
falan O
şaşırdım O
doğrusu O
Mesaj O
Bilibilim O
:) O

Zekeriya S-PERSON
hoca O
müthiş O
ya O
her O
seferinde O
gülme O
krizine O
giriyorum O
:D O

Single O
26 B-DATE
Mart I-DATE
Pazartesi E-DATE
günü O
çıkıyor... O
:) O

#HANDLE# O
Ne O
yaptınız? O
Nerde O
görüştün? O
:) O

#HANDLE# O
ben O
Karşıyaka S-LOCATION
:) O
daha O
önce O
İzmir S-LOCATION
geldin O
mi O
? O

Mutluyumm O
cook O
mutluyumm O
:) O

#HANDLE# O
sanırım O
hemen O
düzeltmiş O
:) O

bu O
ayki O
sızıntıda O
tam O
benlik O
bi O
başlık O
var O
insanı O
sevmek O
:) O
hepsini O
mii? O
çok O
zor O
ya O

#HANDLE# O
ay O
hic O
sormaa O
yaaa O
(: O
tam O
sevgilini O
tak O
koluna O
gez O
havasi O
:) O

#HANDLE# O
ben O
ve O
pis O
işler O
he O
:D O
olsa O
olsa O
sende O
olur O
onlar O
:D O

#HANDLE# O
hayııııırrr O
okulun O
bulunduğu O
yer O
sağolsun O
allahın O
dağındayız O
yaneee O
:D O
ay O
yane O
dedim O
yaa O
yani O
olcaktı O
o O
:D O

Askımın O
tweetı O
acık O
kalmısss. O
Senı O
bıde O
mıstıgı O
cok O
sevıyorum O
kankaaaa O
ıyı O
varsınızzzz O
asıgım O
sıze O
hadı O
by O
:D O

#HANDLE# O
Allah O
Korusun O
yani O
:) O
ayni O
anda O
deme:) O

#HANDLE# O
#HANDLE# O
bır O
sanıye O
:D O

#HANDLE# O
bugün O
çok O
iyidin O
canımmm O
:) O

#HANDLE# O
aahhh O
gozum O
aciiyyy O
:( O

#HANDLE# O
çıkarma O
sinan O
akçılım O
:D O

#HANDLE# O
tanımazsın O
arkadasın O
Suat S-PERSON
:) O

#turkunuzaylaimtihani O
sacma O
ama O
komik O
bi O
diziye O
benziyor O
:D O

#HANDLE# O
ahahahaha O
:D O

Cağla S-PERSON
karakterine O
Asık O
olduğum O
insanı O
öğrendiiii. O
Cok O
belli O
ettimde O
ondan. O
Lanet O
ya. O
:D O

Otobuste O
adam O
uyuyo O
uyumayı O
gectım O
bıde O
horluyo O

Antalyaya<e_enamex> S-LOCATION
baaak O
Trabzon<e_enamex> S-LOCATION
eliyor O
:D O

#HANDLE# O
o O
zaman O
halk O
otobuslerinde O
de O
kokteyl O
dagitirlarsa O
yakinda O
sasirmamak O
lazim O
:) O
ne O
de O
olsa O
onlarda O
ozel O
:)) O

Messiiiii S-PERSON
messiiiii S-PERSON
messiiii S-PERSON
bu O
adam O
neyin O
nesiiiiiiii O

#HANDLE# O
ahahah O
ozlemissindir O
diye O
yaptim O
sitem O
ediyodun O
:D O

Sow: O
Biz O
bu O
sene O
Türkiye S-LOCATION
Kupasını O
kesin O
alıcaz! O

Alex: O
Sen O
yenisin O
galiba O
:D O
:D O

#HANDLE# O
evet O
ben O
senin O
kadar O
duygusal O
degilim O
reklamalara O
bile O
aglamiyorum O
:) O

Dakika O
10 O
efekanı O
3-0 O
yeniyorum O
:D O

#HANDLE# O
kalp O
:) O

Evcil O
hayvan O
aranıyomus. O
Benden O
olur O
mu O
la O
? O
Hayvanım O
ama O
evcil O
değilim O
xd O

#HANDLE# O
sen O
yokken O
ne O
laka O
bilmiyorum O
ama O
kendimi O
çıplak O
gibi O
hissettim O
:D O

#HANDLE# O
gecer O
:D O

Omer B-PERSON
urundul E-PERSON
ne O
fanatik O
trabzonluymus S-LOCATION
adam O
aglicak O
simdi O

#HANDLE# O
slm O

RT O
#HANDLE# O
I'm O
following O
the O
first O
1OO O
who O
follows O
#HANDLE# O
+ O
#HANDLE# O
:) O
RT O
if O
u O
want O
me O
to O
follow O
u:) O

Fenerbahçe S-ORGANIZATION
Samsun<e_enamex> S-LOCATION
maçını O
heycanla O
bekliyoruum O
:) O

#HANDLE# O
sen O
benim O
17 O
yasimsin... O
:) O

#HANDLE# O
hic O
yuzude O
kizarmiyor O
ki O
:) O

#HANDLE# O
hic O
yuzude O
kizarmiyor O
ki O
:) O

#HANDLE# O
usta O
slm.bana O
versiyon O
düşürme O
konusunda O
yardımcı O
olabilirmisin O
rica O
etsem O

Sagimda O
laptop, O
solumda O
Tv, O
elimde O
telefon O
dizimin O
üstünde O
kitab, O
qulagimda O
nausnik. O
Aynstein S-PERSON
axtariram O
ki, O
menim O
ne O
etdiyimi O
anlasin. O
:D O

Sagimda O
laptop, O
solumda O
Tv, O
elimde O
telefon O
dizimin O
üstünde O
kitab, O
qulagimda O
nausnik. O
Aynstein S-PERSON
axtariram O
ki, O
menim O
ne O
etdiyimi O
anlasin. O
:D O

#BabaBeniGagayaGonder O

hgıfjdfkdls O

Cağla S-PERSON
karakterine O
Asık O
olduğum O
insanı O
öğrendiiii. O
Cok O
belli O
ettimde O
ondan. O
Lanet O
ya. O
:D O

#HANDLE# O
o O
zaman O
halk O
otobuslerinde O
de O
kokteyl O
dagitirlarsa O
yakinda O
sasirmamak O
lazim O
:) O
ne O
de O
olsa O
onlarda O
ozel O
:)) O

#HANDLE# O
ahahah O
ozlemissindir O
diye O
yaptim O
sitem O
ediyodun O
:D O

#HANDLE# O
#EceFiliziÇokSeviyorum O
mesaja O
bakarmısın O
meleek O
:) O

Sow: O
Biz O
bu O
sene O
Türkiye S-LOCATION
Kupasını O
kesin O
alıcaz! O

Alex S-PERSON
Sen O
yenisin O
galiba O
:D O
:D O

#HANDLE# O
evet O
ben O
senin O
kadar O
duygusal O
degilim O
reklamalara O
bile O
aglamiyorum O
:) O

#HANDLE# O
kalp O
:) O

Evcil O
hayvan O
aranıyomus. O
Benden O
olur O
mu O
la O
? O
Hayvanım O
ama O
evcil O
değilim O
xd O

#HANDLE# O
sen O
yokken O
ne O
laka O
bilmiyorum O
ama O
kendimi O
çıplak O
gibi O
hissettim O
:D O

açım O
açım O
ve O
açım O
:D O

#HANDLE# O
Dogum O
gunun O
kutlu O
olsun O
kaarsim O
nice O
beraber O
yillara O
:) O

#HANDLE# O
sarp B-PERSON
akkayanin E-PERSON
oynadigi O
filmin O
galasinda O
yok O
musunuz? O
Sirf O
sizin O
icin O
geldim O
:) O

#HANDLE# O
*2. O
sınıf O
final O
değil O
:( O

Sagimda O
laptop, O
solumda O
Tv, O
elimde O
telefon O
dizimin O
üstünde O
kitab, O
qulagimda O
nausnik. O
Aynstein S-PERSON
axtariram O
ki, O
menim O
ne O
etdiyimi O
anlasin. O
:D O

#BabaBeniGagayaGonder O

hgıfjdfkdls O

#HANDLE# O
#EceFiliziÇokSeviyorum O
mesaja O
bakarmısın O
meleek O
:) O

#HANDLE# O
:D O

haydi O
fenerbahçem S-ORGANIZATION
rahat O
ve O
bol O
gollü O
bir O
maç O
olsun O
... O
haydi O
şampiyon... O
:) O

#HANDLE# O
bugünlerde O
çok O
canım O
sıkılıyo O
yaaa O
:( O

açım O
açım O
ve O
açım O
:D O

Külkedisi O
bendim, O
aptal O
prens O
anlayamadı. O
Balkabağının O
yanında O
oturup O
ağlayacağımı O
mı O
sandınız. O
Diğer O
balo O
ne O
zamandıı? O
:) O

#HANDLE# O
Dogum O
gunun O
kutlu O
olsun O
kaarsim O
nice O
beraber O
yillara O
:) O

#HANDLE# O
sarp B-PERSON
akkayanin E-PERSON
oynadigi O
filmin O
galasinda O
yok O
musunuz? O
Sirf O
sizin O
icin O
geldim O
:) O

#HANDLE# O
*2. O
sınıf O
final O
değil O
:( O

Bugünde O
hava O
hiç O
fena O
değildi,iyi O
haberler O
almaya O
devam O
ediyoruz O
:D O
Yani O
her O
şey O
tıkırında O
:D O
İçimdeki O
koşma O
hissini O
bastırmıyorum! O
:) O

RT O
#HANDLE# O
prezervatif O
reklamı O
yapacak O
olsam, O
Ajdar S-PERSON
babasının O
üzgün O
fotoğrafını O
bilboardlara O
asar, O
altına O
da O
"son O
pişmanlık O
... O

#HANDLE# O
ama O
çoğu O
zaman O
ben O
de O
senin O
gibi O
düşünüyorum O
:( O

Etrafta O
kücük O
seylere O
gereginden O
fazla O
deger O
verenler O
taniyorum O
ben O
ellerinden O
büyük O
isler O
gelmeyenler O
onlar O
:D O

#HANDLE# O
#HANDLE# O
Bende O
hala O
bir O
sorun O
yok O
sonuna O
kadar O
devam O
edeceğim O
bakalım O
ne O
olacak O
:D O
sana O
kızmış O
Twitter S-ORGANIZATION

#HANDLE# O
:D O

haydi O
fenerbahçem O
rahat O
ve O
bol O
gollü O
bir O
maç O
olsun O
... O
haydi O
şampiyon... O
:) O

#HANDLE# O
bugünlerde O
çok O
canım O
sıkılıyo O
yaaa O
:( O

Külkedisi O
bendim, O
aptal O
prens O
anlayamadı. O
Balkabağının O
yanında O
oturup O
ağlayacağımı O
mı O
sandınız. O
Diğer O
balo O
ne O
zamandıı? O
:) O

Bugünde O
hava O
hiç O
fena O
değildi,iyi O
haberler O
almaya O
devam O
ediyoruz O
:D O
Yani O
her O
şey O
tıkırında O
:D O
İçimdeki O
koşma O
hissini O
bastırmıyorum! O
:) O

RT O
#HANDLE# O
prezervatif O
reklamı O
yapacak O
olsam, O
Ajdar S-PERSON
babasının O
üzgün O
fotoğrafını O
bilboardlara O
asar, O
altına O
da O
"son O
pişmanlık O
... O

#HANDLE# O
ama O
çoğu O
zaman O
ben O
de O
senin O
gibi O
düşünüyorum O
:( O

Etrafta O
kücük O
seylere O
gereginden O
fazla O
deger O
verenler O
taniyorum O
ben O
ellerinden O
büyük O
isler O
gelmeyenler O
onlar O
:D O

#HANDLE# O
#HANDLE# O
Bende O
hala O
bir O
sorun O
yok O
sonuna O
kadar O
devam O
edeceğim O
bakalım O
ne O
olacak O
:D O
sana O
kızmış O
Twitter S-ORGANIZATION

Hahay O
babam O
okey O
icin O
ablamla O
kavga O
ediyo O
Yarabbimm O
:D O

#HANDLE# O
yahhh O
:D O

Ben O
ant S-ORGANIZATION
- O
ts S-ORGANIZATION
maçının O
gözlemcisi O
olsam O
süleyman O
abay O
a O
not O
vermem. O
not O
kısmını O
boş O
bırakırım. O
Bu O
ne O
rezalet O
yönetim... O

Happy O
Birthday O
Twitter S-ORGANIZATION
sayende O
ne O
kadar O
gereksizlik O
varsa O
yapıyorum,yazıyorum O
:) O

#HANDLE# O
tuğçecik O
iyi O
ki O
doğmuuşşş O
:) O

#HANDLE# O
salih O
arayamıyorum O
seni O
dahili O
numara O
verdi O
adam O
müsait O
değil O
salih O
dedi O
bekliyorum O
müsait O
olunca O
tekrar O
dönersin O

RT O
#HANDLE# O
günümün O
sözü O
:) O
"mantık O
sizi O
A O
noktasından O
B O
noktasına O
götürür,hayal O
gücü O
ise O
her O
yere" O
A.Einstein S-PERSON

#HANDLE# O
Adeks O
için O
yaşlandım O
:) O
walla O
şimdi O
bi O
işe O
girmeye O
kalksam O
yıllık O
izin O
falan O
olmayacak O
tatilden O
sonra O
iş O
bakarsın O
dedi O
bizimkiler O

umut B-PERSON
kayanın E-PERSON
yanıma O
yataydı O
şarkısı O
bazı O
arkadaşlara O
yaşam O
felsefesi O
olarak O
gitsin O
:P O

#HANDLE# O
evet O
askım O
gir O
oku O
yorumlarını O
bekliyorumm, O
senin O
hakkındada O
var O
bi O
bölüm O
bak O
:) O

SDÜ B-LOCATION
KILICARSALAN I-LOCATION
KAMPÜSÜN E-LOCATION
DE O
NEVRUZ O
KUTLAMSI O
YAPILDI. O
BAHCEYİ O
KAPLAYAN O
KOCA O
HALAY O
KURUP O
EGLENDİK.. O
:) O

emelda O
diliberti O
think O
I'm O
clenched O
:) O

#HANDLE# O
amk. O
liselisi O
mal O
